Epoch,State,Count
0,Susceptible,36
0,Infectious,63
0,Recovered,0
1,Susceptible,19
1,Infectious,49
1,Recovered,31
2,Susceptible,25
2,Infectious,37
2,Recovered,37
3,Susceptible,27
3,Infectious,38
3,Recovered,34
4,Susceptible,26
4,Infectious,38
4,Recovered,35
5,Susceptible,26
5,Infectious,37
5,Recovered,36
6,Susceptible,26
6,Infectious,37
6,Recovered,35
7,Susceptible,26
7,Infectious,37
7,Recovered,36
8,Susceptible,26
8,Infectious,36
8,Recovered,36
9,Susceptible,26
9,Infectious,36
9,Recovered,36
10,Susceptible,26
10,Infectious,36
10,Recovered,36
11,Susceptible,27
11,Infectious,36
11,Recovered,36
12,Susceptible,26
12,Infectious,36
12,Recovered,36
13,Susceptible,26
13,Infectious,36
13,Recovered,36
14,Susceptible,26
14,Infectious,36
14,Recovered,36
15,Susceptible,26
15,Infectious,36
15,Recovered,36
16,Susceptible,26
16,Infectious,36
16,Recovered,36
17,Susceptible,27
17,Infectious,36
17,Recovered,36
18,Susceptible,26
18,Infectious,36
18,Recovered,36
19,Susceptible,26
19,Infectious,36
19,Recovered,36
20,Susceptible,26
20,Infectious,36
20,Recovered,36
21,Susceptible,27
21,Infectious,36
21,Recovered,36
22,Susceptible,26
22,Infectious,37
22,Recovered,36
23,Susceptible,26
23,Infectious,36
23,Recovered,36
24,Susceptible,26
24,Infectious,36
24,Recovered,36
25,Susceptible,26
25,Infectious,36
25,Recovered,36
26,Susceptible,26
26,Infectious,36
26,Recovered,36
27,Susceptible,26
27,Infectious,36
27,Recovered,36
28,Susceptible,26
28,Infectious,36
28,Recovered,36
29,Susceptible,26
29,Infectious,36
29,Recovered,36
30,Susceptible,26
30,Infectious,36
30,Recovered,36
31,Susceptible,27
31,Infectious,36
31,Recovered,36
32,Susceptible,26
32,Infectious,36
32,Recovered,36
33,Susceptible,26
33,Infectious,36
33,Recovered,36
34,Susceptible,26
34,Infectious,36
34,Recovered,36
35,Susceptible,26
35,Infectious,36
35,Recovered,36
36,Susceptible,27
36,Infectious,36
36,Recovered,36
37,Susceptible,27
37,Infectious,36
37,Recovered,36
38,Susceptible,27
38,Infectious,36
38,Recovered,36
39,Susceptible,26
39,Infectious,36
39,Recovered,36
40,Susceptible,26
40,Infectious,36
40,Recovered,36
41,Susceptible,26
41,Infectious,36
41,Recovered,36
42,Susceptible,26
42,Infectious,36
42,Recovered,36
43,Susceptible,26
43,Infectious,36
43,Recovered,36
44,Susceptible,26
44,Infectious,37
44,Recovered,36
45,Susceptible,26
45,Infectious,37
45,Recovered,36
46,Susceptible,26
46,Infectious,36
46,Recovered,36
47,Susceptible,27
47,Infectious,36
47,Recovered,36
48,Susceptible,26
48,Infectious,36
48,Recovered,36
49,Susceptible,26
49,Infectious,36
49,Recovered,36
50,Susceptible,26
50,Infectious,36
50,Recovered,36
51,Susceptible,26
