Epoch,State,Count
Epoch,State,Count
Epoch,State,Count
0,Susceptible,56
0,Infectious,33
0,Recovered,10
1,Susceptible,29
1,Infectious,54
1,Recovered,15
2,Susceptible,20
2,Infectious,58
2,Recovered,21
3,Susceptible,15
3,Infectious,60
3,Recovered,23
4,Susceptible,17
4,Infectious,56
4,Recovered,26
5,Susceptible,18
5,Infectious,57
5,Recovered,24
6,Susceptible,18
6,Infectious,55
6,Recovered,25
7,Susceptible,18
7,Infectious,56
7,Recovered,25
8,Susceptible,19
8,Infectious,56
8,Recovered,24
9,Susceptible,18
9,Infectious,58
9,Recovered,23
10,Susceptible,17
10,Infectious,55
10,Recovered,26
11,Susceptible,18
11,Infectious,56
11,Recovered,24
12,Susceptible,18
12,Infectious,55
12,Recovered,26
13,Susceptible,20
13,Infectious,54
13,Recovered,25
14,Susceptible,20
14,Infectious,57
14,Recovered,22
15,Susceptible,18
15,Infectious,56
15,Recovered,25
16,Susceptible,18
16,Infectious,54
16,Recovered,27
17,Susceptible,19
17,Infectious,53
17,Recovered,26
18,Susceptible,19
18,Infectious,54
18,Recovered,25
19,Susceptible,20
19,Infectious,54
19,Recovered,24
20,Susceptible,18
20,Infectious,56
20,Recovered,25
21,Susceptible,17
21,Infectious,54
21,Recovered,27
22,Susceptible,19
22,Infectious,54
22,Recovered,26
23,Susceptible,20
23,Infectious,54
23,Recovered,24
24,Susceptible,21
24,Infectious,53
24,Recovered,24
25,Susceptible,20
25,Infectious,54
25,Recovered,24
26,Susceptible,17
26,Infectious,57
26,Recovered,24
27,Susceptible,18
27,Infectious,54
27,Recovered,26
28,Susceptible,20
28,Infectious,53
28,Recovered,26
29,Susceptible,20
29,Infectious,52
29,Recovered,27
30,Susceptible,20
30,Infectious,55
30,Recovered,24
31,Susceptible,18
31,Infectious,56
31,Recovered,25
32,Susceptible,18
32,Infectious,54
32,Recovered,26
33,Susceptible,19
33,Infectious,53
33,Recovered,26
34,Susceptible,19
34,Infectious,54
34,Recovered,26
35,Susceptible,21
35,Infectious,53
35,Recovered,25
36,Susceptible,20
36,Infectious,55
36,Recovered,23
37,Susceptible,19
37,Infectious,56
37,Recovered,24
38,Susceptible,18
38,Infectious,54
38,Recovered,26
39,Susceptible,18
39,Infectious,55
39,Recovered,25
40,Susceptible,19
40,Infectious,55
40,Recovered,24
41,Susceptible,19
41,Infectious,53
41,Recovered,26
42,Susceptible,18
42,Infectious,55
42,Recovered,26
43,Susceptible,18
43,Infectious,56
43,Recovered,25
44,Susceptible,18
44,Infectious,55
44,Recovered,26
45,Susceptible,18
45,Infectious,55
45,Recovered,25
46,Susceptible,19
46,Infectious,54
46,Recovered,26
47,Susceptible,20
47,Infectious,53
47,Recovered,26
48,Susceptible,20
48,Infectious,53
48,Recovered,25
49,Susceptible,18
49,Infectious,55
49,Recovered,25
50,Susceptible,20
50,Infectious,54
50,Recovered,25
51,Susceptible,18
51,Infectious,58
51,Recovered,23
52,Susceptible,18
52,Infectious,53
52,Recovered,27
53,Susceptible,21
53,Infectious,53
53,Recovered,25
54,Susceptible,21
54,Infectious,53
54,Recovered,25
55,Susceptible,21
55,Infectious,51
55,Recovered,27
56,Susceptible,22
56,Infectious,51
56,Recovered,25
57,Susceptible,24
57,Infectious,51
57,Recovered,24
58,Susceptible,21
58,Infectious,53
58,Recovered,25
59,Susceptible,20
59,Infectious,56
59,Recovered,22
60,Susceptible,17
60,Infectious,57
60,Recovered,24
61,Susceptible,17
61,Infectious,56
61,Recovered,25
62,Susceptible,17
62,Infectious,56
62,Recovered,26
63,Susceptible,20
63,Infectious,55
63,Recovered,24
64,Susceptible,19
64,Infectious,54
64,Recovered,26
65,Susceptible,20
65,Infectious,54
65,Recovered,25
66,Susceptible,20
66,Infectious,53
66,Recovered,26
67,Susceptible,19
67,Infectious,54
67,Recovered,25
68,Susceptible,19
68,Infectious,55
68,Recovered,25
69,Susceptible,18
69,Infectious,55
69,Recovered,25
70,Susceptible,18
70,Infectious,55
70,Recovered,26
71,Susceptible,18
71,Infectious,54
71,Recovered,26
72,Susceptible,21
72,Infectious,53
72,Recovered,25
73,Susceptible,20
73,Infectious,53
73,Recovered,26
74,Susceptible,18
74,Infectious,57
74,Recovered,24
75,Susceptible,17
75,Infectious,56
75,Recovered,26
76,Susceptible,17
76,Infectious,56
76,Recovered,25
77,Susceptible,18
77,Infectious,56
77,Recovered,25
78,Susceptible,18
78,Infectious,54
78,Recovered,26
79,Susceptible,19
79,Infectious,55
79,Recovered,25
80,Susceptible,19
80,Infectious,54
80,Recovered,25
81,Susceptible,19
81,Infectious,53
81,Recovered,26
82,Susceptible,18
82,Infectious,54
82,Recovered,26
83,Susceptible,18
83,Infectious,57
83,Recovered,23
84,Susceptible,18
84,Infectious,56
84,Recovered,25
85,Susceptible,18
85,Infectious,57
85,Recovered,24
86,Susceptible,18
86,Infectious,56
86,Recovered,24
87,Susceptible,18
87,Infectious,53
87,Recovered,27
88,Susceptible,19
88,Infectious,55
88,Recovered,25
89,Susceptible,18
89,Infectious,56
89,Recovered,25
90,Susceptible,19
90,Infectious,53
90,Recovered,26
91,Susceptible,19
91,Infectious,55
91,Recovered,24
92,Susceptible,16
92,Infectious,55
92,Recovered,27
93,Susceptible,19
93,Infectious,54
93,Recovered,25
94,Susceptible,18
94,Infectious,57
94,Recovered,24
95,Susceptible,17
95,Infectious,54
95,Recovered,27
96,Susceptible,19
96,Infectious,55
96,Recovered,24
97,Susceptible,17
97,Infectious,56
97,Recovered,26
98,Susceptible,19
98,Infectious,54
98,Recovered,26
99,Susceptible,19
99,Infectious,55
99,Recovered,24
100,Susceptible,18
100,Infectious,55
100,Recovered,25
101,Susceptible,18
101,Infectious,55
101,Recovered,25
102,Susceptible,18
102,Infectious,53
