Epoch,State,Count
0,Susceptible,40
0,Infectious,36
0,Recovered,22
1,Susceptible,19
1,Infectious,30
1,Recovered,49
2,Susceptible,18
2,Infectious,23
2,Recovered,57
3,Susceptible,18
3,Infectious,23
3,Recovered,57
4,Susceptible,17
4,Infectious,23
4,Recovered,58
5,Susceptible,17
5,Infectious,22
5,Recovered,59
6,Susceptible,17
6,Infectious,23
6,Recovered,59
7,Susceptible,17
7,Infectious,23
7,Recovered,59
8,Susceptible,17
8,Infectious,22
8,Recovered,59
9,Susceptible,17
9,Infectious,22
9,Recovered,59
10,Susceptible,17
10,Infectious,22
10,Recovered,59
11,Susceptible,17
11,Infectious,23
11,Recovered,59
12,Susceptible,17
12,Infectious,22
12,Recovered,59
13,Susceptible,17
13,Infectious,22
13,Recovered,59
14,Susceptible,17
14,Infectious,22
14,Recovered,59
15,Susceptible,17
15,Infectious,22
15,Recovered,59
16,Susceptible,17
16,Infectious,22
16,Recovered,59
17,Susceptible,17
17,Infectious,22
17,Recovered,59
18,Susceptible,17
18,Infectious,22
18,Recovered,59
19,Susceptible,17
19,Infectious,22
19,Recovered,59
20,Susceptible,17
20,Infectious,22
20,Recovered,59
21,Susceptible,17
21,Infectious,22
21,Recovered,59
22,Susceptible,17
22,Infectious,22
22,Recovered,59
23,Susceptible,17
23,Infectious,22
23,Recovered,59
24,Susceptible,17
24,Infectious,22
24,Recovered,59
25,Susceptible,17
25,Infectious,22
25,Recovered,59
26,Susceptible,17
26,Infectious,22
26,Recovered,59
27,Susceptible,17
27,Infectious,22
27,Recovered,59
28,Susceptible,17
28,Infectious,22
28,Recovered,59
29,Susceptible,17
29,Infectious,22
29,Recovered,59
30,Susceptible,17
30,Infectious,22
30,Recovered,59
31,Susceptible,17
31,Infectious,22
31,Recovered,59
32,Susceptible,17
32,Infectious,23
32,Recovered,59
33,Susceptible,17
33,Infectious,22
33,Recovered,59
34,Susceptible,17
34,Infectious,22
34,Recovered,59
35,Susceptible,17
35,Infectious,22
35,Recovered,59
36,Susceptible,17
36,Infectious,22
36,Recovered,59
37,Susceptible,17
37,Infectious,22
37,Recovered,59
38,Susceptible,17
38,Infectious,22
38,Recovered,59
39,Susceptible,17
39,Infectious,22
39,Recovered,59
40,Susceptible,17
40,Infectious,22
40,Recovered,59
41,Susceptible,17
41,Infectious,22
41,Recovered,59
42,Susceptible,17
42,Infectious,22
42,Recovered,59
43,Susceptible,17
43,Infectious,22
43,Recovered,59
44,Susceptible,17
44,Infectious,22
44,Recovered,59
45,Susceptible,17
45,Infectious,22
45,Recovered,59
46,Susceptible,17
46,Infectious,22
46,Recovered,59
47,Susceptible,17
47,Infectious,22
47,Recovered,59
48,Susceptible,17
48,Infectious,23
48,Recovered,59
49,Susceptible,17
49,Infectious,23
49,Recovered,59
50,Susceptible,17
50,Infectious,22
50,Recovered,59
51,Susceptible,17
51,Infectious,22
51,Recovered,59
52,Susceptible,17
52,Infectious,23
52,Recovered,59
53,Susceptible,17
