Epoch,State,Count
0,Susceptible,40
0,Infectious,23
0,Recovered,36
1,Susceptible,17
1,Infectious,20
1,Recovered,62
2,Susceptible,13
2,Infectious,16
2,Recovered,69
3,Susceptible,13
3,Infectious,15
3,Recovered,70
4,Susceptible,12
4,Infectious,16
4,Recovered,71
5,Susceptible,12
5,Infectious,15
5,Recovered,72
6,Susceptible,12
6,Infectious,15
6,Recovered,72
7,Susceptible,12
7,Infectious,15
7,Recovered,72
8,Susceptible,12
8,Infectious,15
8,Recovered,72
9,Susceptible,12
9,Infectious,15
9,Recovered,72
10,Susceptible,12
10,Infectious,15
10,Recovered,72
11,Susceptible,12
11,Infectious,15
11,Recovered,72
12,Susceptible,12
12,Infectious,15
12,Recovered,72
13,Susceptible,12
13,Infectious,15
13,Recovered,72
14,Susceptible,12
14,Infectious,15
14,Recovered,72
15,Susceptible,11
15,Infectious,15
15,Recovered,72
16,Susceptible,12
16,Infectious,15
16,Recovered,72
17,Susceptible,12
17,Infectious,15
17,Recovered,72
18,Susceptible,12
18,Infectious,15
18,Recovered,72
19,Susceptible,12
19,Infectious,15
19,Recovered,72
20,Susceptible,12
20,Infectious,15
20,Recovered,72
21,Susceptible,12
21,Infectious,15
21,Recovered,72
22,Susceptible,12
22,Infectious,15
22,Recovered,72
23,Susceptible,12
23,Infectious,15
23,Recovered,72
24,Susceptible,12
24,Infectious,15
24,Recovered,72
25,Susceptible,12
25,Infectious,15
25,Recovered,72
26,Susceptible,12
26,Infectious,15
26,Recovered,72
27,Susceptible,12
27,Infectious,15
27,Recovered,72
28,Susceptible,12
28,Infectious,15
28,Recovered,72
29,Susceptible,12
29,Infectious,15
29,Recovered,72
30,Susceptible,12
30,Infectious,15
30,Recovered,72
31,Susceptible,12
31,Infectious,15
31,Recovered,72
32,Susceptible,12
32,Infectious,15
32,Recovered,72
33,Susceptible,12
33,Infectious,15
33,Recovered,72
34,Susceptible,12
34,Infectious,15
34,Recovered,72
35,Susceptible,12
35,Infectious,15
35,Recovered,72
36,Susceptible,12
36,Infectious,15
36,Recovered,72
37,Susceptible,12
37,Infectious,15
37,Recovered,72
38,Susceptible,12
38,Infectious,14
38,Recovered,72
39,Susceptible,12
39,Infectious,15
39,Recovered,72
40,Susceptible,12
40,Infectious,15
40,Recovered,72
41,Susceptible,12
41,Infectious,15
41,Recovered,72
42,Susceptible,12
42,Infectious,15
